Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Måned;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;4780;4336;5224;100,0;28;28;0;1;100,0;Totalt;4213;566;272;149;80;65;61;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;4370;4019;4721;100,0;31;31;0;0;100,0;1;3817;553;259;145;82;66;61;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;562;483;641;100,0;31;31;0;1;99,8;3;533;28;21;5;1;1;1;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;0;0;0;100,0;31;31;0;0;-;Totalt i retning Tomasjord;-;-;-;-;-;-;-;-
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;4931;4513;5349;100,0;31;31;0;0;100,0;Totalt i retning Tromsøya;4350;581;281;150;84;67;62;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;4932;4514;5350;100,0;31;31;0;1;100,0;Totalt;4350;581;281;150;84;67;62;5
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;3866;3363;4369;100,0;30;30;0;0;100,0;1;3410;455;218;122;62;53;49;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;460;363;557;100,0;30;30;0;1;99,8;3;438;21;18;3;1;0;0;0
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;0;-1;1;100,0;30;30;0;0;-;Totalt i retning Tomasjord;-;-;-;-;-;-;-;-
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;4326;3727;4925;100,0;30;30;0;1;100,0;Totalt i retning Tromsøya;3848;476;235;124;63;54;50;4
31157V2782679;Tromsøysundtunnelen T2;EV8 S2D1 m5455;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;4326;3727;4925;100,0;30;30;0;1;100,0;Totalt;3849;476;235;125;63;54;50;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4940;4479;5401;100,0;31;31;0;0;100,0;1;4613;327;87;116;51;73;69;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4813;4432;5194;100,0;31;31;0;0;100,0;2;4535;279;75;103;46;54;52;2
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4939;4478;5400;100,0;31;31;0;0;100,0;Totalt i retning TROMSDALEN;4613;327;87;116;51;73;69;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;4814;4433;5195;100,0;31;31;0;0;100,0;Totalt i retning KROKEN;4535;279;75;103;46;54;52;2
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;9754;8915;10593;100,0;31;31;0;1;100,0;Totalt;9148;605;162;219;97;128;122;6
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;5308;4904;5712;100,0;28;28;0;0;100,0;1;4967;341;85;121;56;79;75;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;5120;4789;5451;100,0;28;28;0;1;100,0;2;4821;299;79;110;47;62;59;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;5307;4903;5711;100,0;28;28;0;0;100,0;Totalt i retning TROMSDALEN;4966;341;85;121;56;79;75;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;5120;4789;5451;100,0;28;28;0;0;100,0;Totalt i retning KROKEN;4821;299;80;110;47;62;59;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;10427;9694;11160;100,0;28;28;0;0;100,0;Totalt;9787;640;164;231;103;141;134;7
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;5390;5012;5768;100,0;31;31;0;0;100,0;1;5041;349;89;120;57;81;77;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;5228;4926;5530;100,0;31;31;0;0;100,0;2;4916;312;85;113;48;66;63;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;5389;5011;5767;100,0;31;31;0;0;100,0;Totalt i retning TROMSDALEN;5041;349;89;120;57;81;77;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;5228;4926;5530;100,0;31;31;0;0;100,0;Totalt i retning KROKEN;4917;312;85;113;48;66;63;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;10618;9944;11292;100,0;31;31;0;0;100,0;Totalt;9958;660;174;233;105;148;140;8
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;5152;4595;5709;100,0;30;30;0;0;100,0;1;4829;324;86;111;55;71;67;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;5015;4530;5500;100,0;30;30;0;0;100,0;2;4720;295;81;109;48;58;55;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;5152;4595;5709;100,0;30;30;0;0;100,0;Totalt i retning TROMSDALEN;4828;324;86;111;55;71;67;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;5016;4531;5501;100,0;30;30;0;1;100,0;Totalt i retning KROKEN;4720;296;81;109;48;58;55;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;10167;9131;11203;100,0;30;30;0;0;100,0;Totalt;9548;619;167;220;104;129;122;7
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;5742;5218;6266;100,0;31;31;0;2;100,0;1;5346;395;104;145;65;81;76;5
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;5620;5167;6073;100,0;31;31;0;1;100,0;2;5254;366;102;140;58;65;62;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;5741;5217;6265;100,0;31;31;0;1;100,0;Totalt i retning TROMSDALEN;5346;395;104;145;65;81;76;5
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;5620;5167;6073;100,0;31;31;0;0;100,0;Totalt i retning KROKEN;5254;366;102;140;58;65;62;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-05-01T00:00+02:00;2022-06-01T00:00+02:00;2022;5;11361;10392;12330;100,0;31;31;0;1;100,0;Totalt;10600;760;206;285;123;146;138;8
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;6202;5671;6733;96,7;30;29;1;0;100,0;1;5690;512;146;200;73;93;88;5
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;5917;5511;6323;96,7;30;29;1;0;100,0;2;5445;472;145;185;66;76;72;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;6201;5670;6732;96,7;30;29;1;0;100,0;Totalt i retning TROMSDALEN;5689;512;146;200;73;93;88;5
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;5918;5512;6324;96,7;30;29;1;0;100,0;Totalt i retning KROKEN;5446;472;145;185;66;76;72;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-06-01T00:00+02:00;2022-07-01T00:00+02:00;2022;6;12119;11190;13048;96,7;30;29;1;0;100,0;Totalt;11135;984;291;385;139;169;160;9
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;4317;3991;4643;100,0;31;31;0;0;100,0;1;3956;361;104;144;42;70;66;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;4214;3940;4488;100,0;31;31;0;1;100,0;2;3875;338;104;141;38;55;52;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;4316;3990;4642;100,0;31;31;0;1;100,0;Totalt i retning TROMSDALEN;3955;361;104;144;42;70;66;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;4216;3942;4490;100,0;31;31;0;1;100,0;Totalt i retning KROKEN;3877;338;104;141;38;55;52;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-07-01T00:00+02:00;2022-08-01T00:00+02:00;2022;7;8531;7934;9128;100,0;31;31;0;0;100,0;Totalt;7831;699;208;284;80;127;119;8
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;5421;4982;5860;100,0;31;31;0;1;100,0;1;5001;419;113;174;51;81;77;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;5248;4902;5594;100,0;31;31;0;0;100,0;2;4865;383;112;166;42;63;60;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;5420;4981;5859;100,0;31;31;0;0;100,0;Totalt i retning TROMSDALEN;5000;419;113;174;51;81;77;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;5249;4903;5595;100,0;31;31;0;0;100,0;Totalt i retning KROKEN;4866;383;112;166;42;63;60;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-08-01T00:00+02:00;2022-09-01T00:00+02:00;2022;8;10670;9890;11450;100,0;31;31;0;2;100,0;Totalt;9866;802;225;340;93;144;137;7
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;5902;5472;6332;100,0;30;30;0;1;100,0;1;5442;459;122;185;62;89;85;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;5687;5351;6023;100,0;30;30;0;0;100,0;2;5273;414;118;169;56;72;69;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;5901;5471;6331;100,0;30;30;0;0;100,0;Totalt i retning TROMSDALEN;5442;459;122;185;62;89;85;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;5688;5352;6024;100,0;30;30;0;0;100,0;Totalt i retning KROKEN;5273;414;118;169;56;72;69;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-09-01T00:00+02:00;2022-10-01T00:00+02:00;2022;9;11589;10829;12349;100,0;30;30;0;0;100,0;Totalt;10715;874;239;354;118;163;155;8
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;5539;5081;5997;100,0;31;31;0;0;100,0;1;5154;385;98;150;54;83;79;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;5425;5036;5814;100,0;31;31;0;0;100,0;2;5070;355;95;142;51;67;64;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;5539;5081;5997;100,0;31;31;0;0;100,0;Totalt i retning TROMSDALEN;5154;385;98;150;54;83;79;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;5426;5037;5815;100,0;31;31;0;1;100,0;Totalt i retning KROKEN;5071;355;95;142;51;67;64;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-10-01T00:00+02:00;2022-11-01T00:00+01:00;2022;10;10964;10120;11808;100,0;31;31;0;0;100,0;Totalt;10224;740;193;292;105;150;143;7
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;5594;5197;5991;100,0;30;30;0;0;100,0;1;5215;379;101;138;55;84;80;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;5421;5092;5750;100,0;30;30;0;0;100,0;2;5087;334;90;131;48;66;63;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;5594;5197;5991;100,0;30;30;0;0;100,0;Totalt i retning TROMSDALEN;5214;379;101;138;55;84;80;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;5422;5093;5751;100,0;30;30;0;0;100,0;Totalt i retning KROKEN;5088;334;89;131;48;66;63;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-11-01T00:00+01:00;2022-12-01T00:00+01:00;2022;11;11016;10294;11738;100,0;30;30;0;1;100,0;Totalt;10302;714;191;269;104;151;143;8
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;5348;4855;5841;100,0;31;31;0;0;100,0;1;5036;312;80;110;52;70;67;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;5226;4773;5679;100,0;31;31;0;1;100,0;2;4955;271;72;102;43;53;50;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;5347;4853;5841;100,0;31;31;0;0;100,0;Totalt i retning TROMSDALEN;5035;312;80;110;52;70;67;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;5226;4774;5678;100,0;31;31;0;0;100,0;Totalt i retning KROKEN;4956;271;72;102;43;53;50;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2022-12-01T00:00+01:00;2023-01-01T00:00+01:00;2022;12;10573;9628;11518;100,0;31;31;0;0;100,0;Totalt;9991;582;152;213;95;123;117;6
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;5024;4647;5401;100,0;31;31;0;0;100,0;1;4688;335;87;113;57;78;74;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;4983;4653;5313;100,0;31;31;0;0;100,0;2;4682;300;82;110;49;59;56;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;5024;4647;5401;100,0;31;31;0;0;100,0;Totalt i retning TROMSDALEN;4688;335;87;113;57;78;74;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;4983;4653;5313;100,0;31;31;0;0;100,0;Totalt i retning KROKEN;4682;300;82;110;49;59;56;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-01-01T00:00+01:00;2023-02-01T00:00+01:00;2023;1;10006;9302;10710;100,0;31;31;0;0;100,0;Totalt;9371;635;169;224;106;137;130;7
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;5225;4820;5630;100,0;28;28;0;1;100,0;1;4872;353;92;123;62;76;73;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;5285;4904;5666;100,0;28;28;0;0;100,0;2;4959;326;86;123;57;60;57;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;5224;4819;5629;100,0;28;28;0;0;100,0;Totalt i retning TROMSDALEN;4871;353;92;123;62;76;73;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;5286;4905;5667;100,0;28;28;0;0;100,0;Totalt i retning KROKEN;4959;326;86;123;57;60;57;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-02-01T00:00+01:00;2023-03-01T00:00+01:00;2023;2;10510;9749;11271;100,0;28;28;0;0;100,0;Totalt;9831;679;178;246;119;136;130;6
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;5380;5009;5751;100,0;31;31;0;5;99,9;1;4994;381;94;135;68;84;80;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;5247;4937;5557;100,0;31;31;0;0;100,0;2;4909;338;93;125;59;62;58;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;5380;5009;5751;100,0;31;31;0;5;99,9;Totalt i retning TROMSDALEN;4994;381;94;135;68;84;80;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;5247;4937;5557;100,0;31;31;0;0;100,0;Totalt i retning KROKEN;4909;338;93;125;59;62;58;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-03-01T00:00+01:00;2023-04-01T00:00+02:00;2023;3;10628;9951;11305;100,0;31;31;0;6;99,9;Totalt;9903;719;186;260;127;146;138;8
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;4931;4374;5488;100,0;30;30;0;0;100,0;1;4629;302;75;112;48;68;64;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;4815;4315;5315;100,0;30;30;0;1;100,0;2;4545;269;73;103;44;49;46;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;4931;4374;5488;100,0;30;30;0;0;100,0;Totalt i retning TROMSDALEN;4628;302;75;112;48;68;64;4
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;4815;4316;5314;100,0;30;30;0;0;100,0;Totalt i retning KROKEN;4546;269;73;103;44;49;46;3
31958V1125796;Kraftforsyningen;EV8 S2D1 m8454;2023-04-01T00:00+02:00;2023-05-01T00:00+02:00;2023;4;9746;8693;10799;100,0;30;30;0;0;100,0;Totalt;9174;572;148;216;92;117;110;7
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;5924;5474;6374;100,0;31;31;0;2;100,0;1;5702;220;86;102;28;4;4;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;6017;5553;6481;100,0;31;31;0;0;100,0;2;5637;380;154;107;115;4;4;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;6016;5552;6480;100,0;31;31;0;1;100,0;Totalt i retning Tromsø;5636;380;154;107;115;4;4;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;5925;5475;6375;100,0;31;31;0;2;100,0;Totalt i retning Larseng;5703;220;86;102;28;4;4;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-01-01T00:00+01:00;2022-02-01T00:00+01:00;2022;1;11941;11027;12855;100,0;31;31;0;3;100,0;Totalt;11339;600;240;208;143;9;9;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;6548;6148;6948;100,0;28;28;0;6;99,9;1;6291;251;97;111;37;7;7;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;6655;6241;7069;100,0;28;28;0;1;100,0;2;6238;416;170;114;126;7;7;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;6653;6238;7068;100,0;28;28;0;1;100,0;Totalt i retning Tromsø;6237;416;169;113;126;7;7;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;6550;6151;6949;100,0;28;28;0;6;99,9;Totalt i retning Larseng;6292;252;97;111;37;7;7;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-02-01T00:00+01:00;2022-03-01T00:00+01:00;2022;2;13203;12389;14017;100,0;28;28;0;6;100,0;Totalt;12529;668;266;225;162;14;14;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;6754;6434;7074;100,0;31;31;0;8;99,9;1;6486;261;106;107;38;9;9;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;6849;6520;7178;100,0;31;31;0;0;100,0;2;6434;415;169;112;125;9;9;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;6848;6519;7177;100,0;31;31;0;0;100,0;Totalt i retning Tromsø;6433;415;169;112;125;9;9;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;6755;6435;7075;100,0;31;31;0;8;99,9;Totalt i retning Larseng;6487;261;106;107;38;9;9;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-03-01T00:00+01:00;2022-04-01T00:00+02:00;2022;3;13603;12955;14251;100,0;31;31;0;8;99,9;Totalt;12920;675;276;219;163;18;18;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;6403;5853;6953;100,0;30;30;0;2;100,0;1;6175;226;94;96;27;8;8;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;6495;5938;7052;100,0;30;30;0;0;100,0;2;6132;363;149;101;105;8;8;0
62639V2268190;Kvaløysletta sør;FV862 S2D1 m2930;2022-04-01T00:00+02:00;2022-05-01T00:00+02:00;2022;4;6495;5938;7052;100,0;30;30;0;0;100,0;Totalt i retning Tromsø;6132;363;149;101;105;8;8;0
